@relation raw_data

@attribute temp numeric
@attribute light numeric
@attribute screen_on {off,on}

@data
884,351,off
879,349,off
889,349,off
889,341,on
894,364,on
892,365,on
889,377,on
892,381,on
892,372,on
891,377,on
888,351,on
891,375,on
889,373,on
887,128,on
892,368,on
893,365,on
892,359,on
893,353,on
893,345,on
895,349,on
892,351,on
893,340,on
895,348,on
889,365,on
889,356,on
890,356,on
892,357,on
892,359,on
893,357,on
894,361,on
893,377,on
893,373,on
889,369,on
892,383,on
892,383,on
892,385,on
892,373,on
889,371,on
892,362,on
892,356,on
889,353,on
889,351,on
895,351,on
893,349,on
892,341,on
892,337,on
889,337,on
892,332,on
892,334,on
892,337,on
892,347,on
891,343,on
892,348,on
892,345,on
892,365,on
891,363,on
892,369,on
890,368,on
889,373,on
892,369,on
892,372,on
894,372,on
893,365,on
891,361,on
892,369,on
889,89,on
888,76,on
892,69,on
888,61,on
886,69,on
892,65,on
892,57,on
887,57,on
890,53,on
889,55,on
887,49,on
885,77,on
887,73,on
889,81,on
887,85,on
887,76,on
890,69,on
887,109,on
885,131,on
887,148,on
887,141,on
887,137,on
888,135,on
892,136,on
892,133,on
889,151,on
887,151,on
885,140,on
889,141,on
887,156,on
886,156,on
885,145,on
885,135,on
887,132,on
889,124,on
888,124,on
893,127,on
887,135,on
887,129,on
886,121,on
887,126,on
887,133,on
887,125,on
887,127,on
889,141,on
885,141,on
887,139,on
886,135,on
889,137,on
887,137,on
887,129,on
887,145,on
887,148,on
886,141,on
887,141,on
886,144,on
889,149,on
887,145,on
885,145,on
887,145,on
887,145,on
885,148,on
887,145,on
885,145,on
885,145,on
887,145,on
881,149,on
884,145,on
884,141,on
882,145,on
884,145,on
885,149,on
884,147,on
886,137,on
885,132,on
886,135,on
885,148,on
884,141,on
887,141,on
886,141,on
884,137,on
886,137,on
886,137,on
884,139,on
884,137,on
885,141,on
885,135,on
885,130,on
887,135,on
884,132,on
885,125,on
886,127,on
886,130,on
885,125,on
886,124,on
885,125,on
886,125,on
885,125,on
885,129,on
884,124,on
886,127,on
885,127,on
886,132,on
884,131,on
884,132,on
885,133,on
884,137,on
882,141,on
882,137,on
881,141,on
869,147,off
873,135,off
863,133,off
863,135,off
869,89,off
871,55,off
872,37,off
877,29,off
873,31,off
872,29,off
876,29,off
874,31,off
873,29,off
876,29,off
876,27,off
872,29,off
878,29,off
876,31,off
870,37,off
871,44,off
871,33,off
871,28,off
871,28,off
871,28,off
860,25,off
862,23,off
863,24,off
863,29,off
862,31,off
868,41,off
865,61,off
871,41,off
871,45,off
876,41,off
871,41,off
868,49,off
871,41,off
871,47,off
874,45,off
868,41,off
869,44,off
871,41,off
863,39,off
863,37,off
868,36,off
857,39,off
863,41,off
855,41,off
861,53,off
861,61,off
855,49,off
860,39,off
862,49,off
869,29,off
868,37,off
863,61,off
868,49,off
871,53,off
876,57,off
870,52,off
868,49,off
860,69,off
860,493,off
860,821,off
861,65,off
855,65,off
860,39,off
875,40,off
870,37,off
863,13,off
868,17,off
873,39,off
868,55,off
863,60,off
868,60,off
868,55,off
871,52,off
871,52,off
871,55,off
876,53,off
878,52,off
873,53,off
871,52,off
873,53,off
872,49,off
873,49,off
876,48,off
877,49,off
869,53,off
876,53,off
877,53,off
877,49,off
873,49,off
876,49,off
877,49,off
877,49,off
878,49,off
878,48,off
878,53,off
877,49,off
876,45,off
877,41,off
877,44,off
876,41,off
877,36,off
877,37,off
876,39,off
876,52,off
876,51,off
863,45,off
865,48,off
869,49,off
869,33,off
871,45,off
863,53,off
872,48,off
870,49,off
876,41,off
872,44,off
873,49,off
872,57,off
868,65,off
863,48,off
863,49,off
871,61,off
863,64,off
869,65,off
871,59,off
863,53,off
868,43,off
870,63,off
869,65,off
869,63,off
873,57,off
871,57,off
871,60,off
871,61,off
876,57,off
873,60,off
871,63,off
876,61,off
873,41,off
881,49,off
881,37,off
876,37,off
879,31,off
885,30,off
886,31,off
884,53,off
884,48,off
884,39,off
887,41,off
884,41,off
885,33,off
885,31,off
886,33,off
892,36,off
884,29,off
884,36,off
881,41,off
