IC = 11154
hit = 2049
miss = 167
right = 1922
wrong = 127
taken = 2117
collision = 6
wrong_addr = 85
hit rate = 92.46%
prediction accuracy = 93.80%
incorrect address = 66.93%

    0 423000 425E40 00
    7 42E01C 42E028 00
    8 423020 4230A8 00
   11 42E02C 42B30C 00
   14 423038 425E40 00
   23 42305C 4230A8 00
   30 423078 423088 00
   41 4230A4 420358 00
   48 4230C0 42B900 00
   57 4230E4 42BC70 00
   61 4230F4 4230FC 00
   66 423108 423060 00
  110 42E1B8 42BC88 00
  113 4001C4 4202B0 00
  119 42C1DC 42C1F8 00
  128 400200 400DB0 00
  133 400214 400410 00
  147 42C24C 42C238 01
  153 42C264 42C274 00
  158 42C278 425FB8 00
  183 4202DC 42AC30 00
  187 4202EC 42AC30 00
  191 4202FC 42AC30 00
  193 420304 420318 00
  194 42B308 42E010 00
  201 42B324 42DFE0 00
  204 420330 420340 00
  209 42E344 42E1B0 00
  211 42034C 42AC30 00
  213 42B354 42DFE0 00
  215 42035C 400204 00
  217 42B364 42B370 00
  229 42B394 42B388 01
  239 42B3BC 42B3CC 00
  249 42B3E4 42B3F4 00
  255 42B3FC 42B3DC 01
  263 40041C 400200 00
  266 42B428 42B474 00
  272 42B440 42B44C 00
  276 400450 40041C 01
  279 40045C 400200 00
  284 42B470 425ED4 00
  292 400490 40045C 01
  295 40049C 400200 00
  296 42B4A0 42B4E0 00
  308 4004D0 40049C 01
  309 4004D4 400200 00
  316 4004F0 400200 00
  323 40050C 400200 00
  328 42B520 42B538 00
  336 400540 40050C 01
  337 42B544 42B42C 00
  339 40054C 400200 00
  352 400580 40054C 01
  355 40058C 400200 00
  368 4005C0 40058C 01
  371 4005CC 400200 00
  384 400600 4005CC 01
  385 400604 400200 00
  393 400624 400200 00
  406 400658 400624 01
  409 400664 400200 00
  422 400698 400664 01
  423 40069C 400200 00
  430 4006B8 400200 00
  433 4006C4 400200 00
  436 4006D0 400200 00
  439 4006DC 400200 00
  443 4006EC 400200 00
  456 400720 4006EC 01
  459 40072C 400200 00
  472 400760 40072C 01
  473 400764 400200 00
  480 400780 400200 00
  487 40079C 400200 00
  494 4007B8 400200 00
  507 4007EC 4007B8 01
  510 4007F8 400200 00
  523 40082C 4007F8 01
  526 400838 400200 00
  539 40086C 400838 01
  540 400870 400200 00
  547 40088C 400200 00
  554 4008A8 400200 00
  561 4008C4 400200 00
  568 4008E0 400200 00
  575 4008FC 400200 00
  579 42B90C 42B918 00
  582 400918 400200 00
  583 42B91C 4230C4 00
  589 400934 400200 00
  596 400950 400200 00
  603 40096C 400200 00
  610 400988 400200 00
  617 4009A4 400200 00
  624 4009C0 400200 00
  631 4009DC 400200 00
  638 4009F8 400200 00
  645 400A14 400200 00
  652 400A30 400200 00
  659 400A4C 400200 00
  666 400A68 400200 00
  673 400A84 400200 00
  680 400AA0 400200 00
  683 400AAC 400200 00
  686 400AB8 400200 00
  691 400ACC 400200 00
  700 400AF0 400AC8 01
  701 400AF4 400200 00
  704 400B00 400200 00
  707 400B0C 400200 00
  710 400B18 400200 00
  713 400B24 400200 00
  719 400B3C 400200 00
  728 400B60 400B38 01
  729 400B64 400200 00
  732 400B70 400200 00
  738 400B88 400200 00
  747 400BAC 400B84 01
  751 400BBC 400200 00
  760 400BE0 400BB8 01
  763 400BEC 400200 00
  776 400C20 400BEC 01
  779 400C2C 400200 00
  786 42AC48 42AC5C 00
  792 400C60 400C2C 01
  795 400C6C 400200 00
  801 42BC84 42E330 00
  805 42BC94 42BC9C 00
  808 400CA0 400C6C 01
  809 42ACA4 42DBA0 00
  810 42BCA8 4230E8 00
  811 400CAC 400200 00
  814 42ACB8 42ACC8 00
  821 42ACD4 42ACE8 01
  824 400CE0 400CAC 01
  827 400CEC 400200 00
  837 42AD14 42DBA0 00
  839 42AD1C 42AD2C 00
  840 400D20 400CEC 01
  843 400D2C 400200 00
  846 42AD38 420300 11
  847 42AD3C 420350 00
  856 400D60 400D2C 01
  859 400D6C 400200 00
  872 400DA0 400D6C 01
  875 400DAC 400200 00
  888 400DE0 400DAC 00
  919 425E5C 425EA4 11
  923 425E6C 425E7C 00
  930 425E88 425E90 10
  936 425EA0 425E60 01
  939 425EAC 425F88 00
  948 425ED0 42B2F0 00
  951 425EDC 425F14 00
  966 425F18 425F30 00
  989 425F74 42C1D0 00
 1005 425FB4 42C1D0 00
 1010 422FC8 425E40 00
 1015 425FDC 42303C 00
 1018 422FE8 4230A8 00
