i,t,Vc,Vr,Ir
1,0,0.02,-0.0176,-0.014666667
2,0.000004,0.044,-0.0168,-0.014
3,0.000008,0.068,-0.0176,-0.014666667
4,0.000012,0.096,-0.016,-0.013333333
5,0.000016,0.128,-0.0152,-0.012666667
6,0.00002,0.156,-0.0136,-0.011333333
7,0.000024,0.188,-0.0128,-0.010666667
8,0.000028,0.22,-0.012,-0.01
9,0.000032,0.248,-0.0096,-0.008
10,0.000036,0.276,-0.0088,-0.007333333
11,0.00004,0.304,-0.0072,-0.006
12,0.000044,0.332,-0.0056,-0.004666667
13,0.000048,0.36,-0.0032,-0.002666667
14,0.000052,0.384,-0.0016,-0.001333333
15,0.000056,0.412,0.0008,0.000666667
16,0.00006,0.436,0.0032,0.002666667
17,0.000064,0.46,0.0048,0.004
18,0.000068,0.484,0.0064,0.005333333
19,0.000072,0.504,0.0096,0.008
20,0.000076,0.524,0.0104,0.008666667
21,0.00008,0.544,0.0128,0.010666667
22,0.000084,0.564,0.0144,0.012
23,0.000088,0.58,0.0184,0.015333333
24,0.000092,0.6,0.0192,0.016
25,0.000096,0.616,0.0232,0.019333333
26,0.0001,0.632,0.0264,0.022
27,0.000104,0.648,0.028,0.023333333
28,0.000108,0.656,0.0304,0.025333333
29,0.000112,0.672,0.0328,0.027333333
30,0.000116,0.684,0.036,0.03
31,0.00012,0.696,0.0384,0.032
32,0.000124,0.704,0.0408,0.034
33,0.000128,0.712,0.0424,0.035333333
34,0.000132,0.72,0.0456,0.038
35,0.000136,0.728,0.048,0.04
36,0.00014,0.736,0.0504,0.042
37,0.000144,0.74,0.0536,0.044666667
38,0.000148,0.744,0.0568,0.047333333
39,0.000152,0.748,0.0592,0.049333333
40,0.000156,0.752,0.0608,0.050666667
41,0.00016,0.752,0.064,0.053333333
42,0.000164,0.752,0.0664,0.055333333
43,0.000168,0.752,0.068,0.056666667
44,0.000172,0.752,0.0704,0.058666667
45,0.000176,0.752,0.0728,0.060666667
46,0.00018,0.748,0.0744,0.062
47,0.000184,0.748,0.0776,0.064666667
48,0.000188,0.744,0.0784,0.065333333
49,0.000192,0.736,0.0808,0.067333333
50,0.000196,0.732,0.0832,0.069333333
51,0.0002,0.728,0.0848,0.070666667
52,0.000204,0.72,0.0872,0.072666667
53,0.000208,0.712,0.0896,0.074666667
54,0.000212,0.704,0.0912,0.076
55,0.000216,0.696,0.0928,0.077333333
